TXN,FROM,TO,AMOUNT,TIME
1,14227,59838,6.93,2011-04-28-09-01-46
2,349246,8689,1.25086844,2011-05-16-02-18-11
3,169915,17141,0.05,2011-04-14-07-24-11
4,320709,58208,4.09,2011-06-22-01-32-51
5,23,72320,5.21,2011-05-20-09-58-13
6,79801,627969,10.0,2009-12-09-13-27-44
7,690528,25718,2.35682791,2011-06-15-16-18-15
8,23,125159,7.0,2011-03-23-03-32-13
9,866006,743908,23.94642025,2011-06-29-16-20-44
10,224821,158173,0.01,2011-06-18-17-20-05
11,362700,660992,41.37,2011-01-11-19-03-43
12,175,855980,1.01,2011-06-04-09-04-23
13,344391,769045,29.52,2011-03-29-04-06-14
14,352580,229816,46.121,2011-07-03-14-00-59
15,570057,148543,46.41383811,2011-07-05-22-31-41
16,454153,7631,1.07,2011-02-28-02-19-08
17,576265,71231,0.0405,2011-06-10-20-54-44
18,862965,15225,0.52,2011-07-08-23-28-28
19,242322,242322,0.05,2011-03-30-02-41-39
20,157113,249135,45.77,2011-01-24-17-06-27
21,321039,672509,2.6e-07,2011-07-07-11-01-31
22,321039,672518,2.6e-07,2011-07-07-11-01-31
23,385013,598823,0.29,2011-03-03-16-00-18
24,842362,533875,464.71563704,2011-06-25-15-37-42
25,541277,739800,0.05,2011-03-12-05-15-22
26,578856,3463,50.0,2011-03-05-12-56-22
27,175,47103,0.2,2011-06-18-13-21-28
28,175,670,0.51,2011-07-03-08-35-43
29,17994,17994,0.69,2011-02-25-02-01-46
30,15780,411762,0.01609155,2011-06-23-00-27-02
31,519042,261519,47.196508,2011-05-21-02-09-08
32,909615,71382,0.07,2011-06-27-17-17-59
33,515513,469796,0.04,2010-11-11-09-54-11
34,643285,38316,0.16,2011-06-19-20-57-54
35,265870,586269,0.01,2011-06-14-04-37-04
36,422018,734046,60.43255323,2011-06-29-14-35-55
37,127665,59,0.1,2011-06-29-01-47-14
38,854881,327343,72.2225,2011-06-16-03-46-56
39,175,45304,1.01,2011-06-03-23-05-32
40,417860,12033,1.92,2011-06-30-11-16-04
41,538307,329950,0.02456339,2011-06-14-17-27-12
42,39144,15608,0.29,2011-06-25-01-38-54
43,717960,780455,16.1146,2011-06-25-01-27-32
44,525213,547238,36.04,2011-05-16-14-26-27
45,526395,830499,0.001,2011-06-20-07-27-12
46,473927,4182,5.0,2010-06-23-09-43-58
47,832738,844284,4.4865,2011-07-01-23-02-38
48,741895,23,0.29,2011-06-02-13-26-09
49,834161,921474,0.09994196,2011-06-11-02-43-33
50,175,1507,0.25,2011-04-27-02-27-22
51,441594,387607,132.88576855,2011-05-26-00-30-55
52,175,670,0.71,2011-07-03-08-35-43
53,881557,5517,96.96,2011-05-10-20-25-32
54,83720,9736,1.44,2011-02-10-08-34-51
55,325751,101228,0.01660657,2011-06-30-16-30-37
56,175,24326,0.14,2011-06-30-15-18-55
57,175,26760,0.02,2011-05-28-00-13-23
58,196414,57575,0.6,2011-04-24-14-20-26
59,31179,86434,0.22,2011-06-06-14-55-09
60,18782,75718,0.01,2011-06-06-08-04-44
61,325569,875249,10.09,2011-07-07-06-12-18
62,872824,687316,17.19,2011-06-29-05-39-24
63,240514,891785,0.13,2011-02-02-22-00-55
64,730989,47418,0.08,2011-05-30-15-55-58
65,175,43891,0.04,2011-05-22-10-10-11
66,871612,478712,30.2,2010-11-16-20-02-07
67,106053,38908,0.1,2011-06-03-19-07-39
68,750176,13054,1.24,2011-03-21-17-57-02
69,832862,8708,50.0,2010-08-15-03-03-21
70,10966,22383,0.63668508,2011-06-09-02-29-33
71,805863,196580,2.12,2011-07-03-03-30-17
72,548416,673453,1.43341365,2011-07-08-04-22-32
73,9216,621584,1.0,2011-05-20-06-12-34
74,302577,422296,0.01,2011-05-12-21-52-18
75,381817,16,0.56,2011-06-25-13-20-10
76,380418,812720,4e-08,2011-07-01-11-35-30
77,857857,547971,0.39,2011-01-29-21-11-22
78,744976,74,0.25,2011-03-30-08-27-15
79,409641,124207,380.5,2010-12-25-16-29-25
80,72722,23,114.2831021,2011-05-31-02-08-12
81,175,19506,0.08,2011-05-16-04-11-07
82,168249,42595,17.62,2011-03-05-22-21-03
83,894767,687223,26.6,2011-06-23-21-00-27
84,804246,13420,0.08310684,2011-06-20-00-37-31
85,292713,35489,0.18,2011-06-14-13-43-38
86,93062,121862,0.01,2010-11-15-23-22-22
87,641155,4300,1.47,2011-05-16-16-40-20
88,453928,57939,14.29,2011-05-29-12-52-37
89,856827,23968,3.32,2011-04-30-05-57-15
90,542821,27845,2.13,2011-06-05-00-18-54
91,117515,781359,18.994,2011-07-08-21-21-32
92,180,41,0.6,2011-01-23-14-54-07
93,247569,458873,4.28,2010-04-18-19-14-28
94,524811,58043,1.74,2011-06-14-20-44-19
95,921662,235408,16.98,2011-05-25-15-51-56
96,278901,42326,0.11967309,2011-05-23-12-14-13
97,426060,52066,0.98,2011-05-01-23-51-56
98,560626,9793,0.24,2011-06-28-17-39-23
99,11286,74039,0.01,2011-06-12-23-15-20
100,56055,29160,29.82,2011-03-11-16-26-43
101,840121,336078,0.03986507,2011-07-02-11-15-18
102,831769,1955,0.08,2011-05-21-09-59-22
103,83175,860018,0.04630993,2011-06-29-00-06-34
104,129673,51307,1.47,2011-02-13-15-05-24
105,664773,68917,0.06,2011-05-31-09-06-53
106,430089,757547,21.36,2010-12-20-10-19-35
107,298520,29527,0.05,2011-02-12-05-03-43
108,11624,617,0.58602801,2011-07-05-12-41-00
109,61222,53098,0.55,2011-04-28-00-09-19
110,13004,741503,3.8e-07,2011-07-03-12-14-43
111,418819,802708,8.16789897,2011-05-07-06-15-34
112,98525,732406,54.6715,2011-05-28-14-03-43
113,57,1509,1.7,2011-07-04-15-16-33
114,709584,785461,239.70196321,2011-06-11-17-45-36
115,16593,73288,199.58,2011-05-03-13-25-49
116,16327,84876,20.0,2011-06-26-22-20-04
117,144186,93796,39.09176825,2011-06-14-09-29-30
118,500091,738752,1.72,2011-06-15-20-50-15
119,321039,672454,2.6e-07,2011-07-07-11-01-31
120,538307,647132,0.01179736,2011-06-14-17-27-12
121,175,51307,1.05,2011-03-26-22-23-46
122,758869,88,0.15,2011-07-02-15-49-54
123,520941,679729,1.0,2011-03-01-22-25-56
124,321039,699371,5e-08,2011-07-06-11-14-14
125,624132,199779,17.92,2011-07-06-23-05-21
126,97599,487164,3.47,2010-07-17-00-13-11
127,175,956,0.33,2011-07-03-08-35-43
128,33,68673,130.0,2011-01-17-17-57-52
129,348,49006,0.05,2011-03-22-07-33-21
130,230486,488564,1.59,2011-04-21-09-31-03
131,812726,867215,48.05,2011-01-12-19-05-41
132,852136,780929,146.42,2011-06-22-16-15-37
133,608106,54772,24.247,2011-06-26-16-48-29
134,175,244291,1.0,2011-05-10-00-08-41
135,1995,334487,0.0348208,2011-06-22-13-42-14
136,681425,620468,2.44,2011-06-10-20-46-02
137,731586,114042,40.413,2011-06-17-02-38-59
138,47035,27241,302.05500643,2011-06-27-20-06-41
139,325428,59042,0.05719362,2011-07-05-00-23-11
140,634458,2995,0.51,2011-07-02-10-01-23
141,431150,404802,42.67549826,2011-07-03-18-40-48
142,723115,722,0.05,2011-05-22-14-48-05
143,11518,80510,99.98,2010-12-12-06-29-15
144,36514,779967,0.01,2011-06-29-09-26-42
145,609986,603502,0.02,2011-05-28-20-52-21
146,108951,383842,5.71,2011-05-18-19-27-36
147,130190,98009,0.04,2011-06-21-17-04-34
148,2707,75331,0.16,2011-05-19-23-33-05
149,2226,2226,1.0,2011-05-07-00-25-25
150,657025,10092,1.49,2011-05-16-01-53-55
151,16,498,2.0,2011-06-19-00-41-08
152,95975,484400,12.8,2011-03-26-13-13-20
153,39762,67820,78.0,2011-03-10-15-07-09
154,519042,23,1.0,2011-05-27-06-10-49
155,588994,351349,0.01327615,2011-06-27-22-53-27
156,388684,539517,470.08,2011-06-21-23-15-22
157,882228,659141,0.001,2011-07-01-06-55-24
158,102785,175,50.0,2011-04-18-09-53-43
159,331143,186080,0.73,2011-06-05-18-52-21
160,767513,828107,0.23,2011-06-28-05-50-06
161,726942,401029,43.04,2011-02-17-19-02-30
162,187857,316563,0.02,2011-06-02-21-52-57
163,586270,221804,0.02,2011-05-22-14-41-08
164,220104,726233,0.01,2011-06-12-07-37-29
165,77961,24125,11.92,2011-05-17-23-43-06
166,586214,680097,704.96,2011-06-19-20-01-59
167,777660,190353,6.7765,2011-07-03-16-44-25
168,175,48983,1.0,2011-06-05-13-27-28
